date,currency,rate
2020-11-01,AUD,0.02
2020-11-01,CAD,0.1075
2020-11-01,CHF,-0.73
2020-11-01,EUR,-0.520857142857143
2020-11-01,GBP,0.04
2020-11-01,JPY,-0.055
2020-11-01,NZD,0.27
2020-11-01,USD,0.16
2020-12-01,AUD,0.02
2020-12-01,CAD,0.106
2020-12-01,CHF,-0.742727272727273
2020-12-01,EUR,-0.538090909090909
2020-12-01,GBP,0.03
2020-12-01,JPY,-0.055
2020-12-01,NZD,0.26
2020-12-01,USD,0.17
2021-01-01,AUD,0.01
2021-01-01,CAD,0.0575
2021-01-01,CHF,-0.729838
2021-01-01,EUR,-0.54715
2021-01-01,GBP,0.03
2021-01-01,JPY,-0.055
2021-01-01,NZD,0.28
2021-01-01,USD,0.14
2021-02-01,AUD,0.01
2021-02-01,CAD,0.0825
2021-02-01,CHF,-0.732424
2021-02-01,EUR,-0.5411
2021-02-01,GBP,0.05
2021-02-01,JPY,-0.055
2021-02-01,NZD,0.28
2021-02-01,USD,0.11
2021-03-01,AUD,0.03
2021-03-01,CAD,0.106
2021-03-01,CHF,-0.73
2021-03-01,EUR,-0.539086956521739
2021-03-01,GBP,0.08
2021-03-01,JPY,-0.065
2021-03-01,NZD,0.33
2021-03-01,USD,0.1
2021-04-01,AUD,0.04
2021-04-01,CAD,0.0925
2021-04-01,CHF,-0.7285415
2021-04-01,EUR,-0.53815
2021-04-01,GBP,0.09
2021-04-01,JPY,-0.065
2021-04-01,NZD,0.34
2021-04-01,USD,0.11
2021-05-01,AUD,0.04
2021-05-01,CAD,0.0975
2021-05-01,CHF,-0.735221052631579
2021-05-01,EUR,-0.540095238095238
2021-05-01,GBP,0.08
2021-05-01,JPY,-0.065
2021-05-01,NZD,0.35
2021-05-01,USD,0.1
2021-06-01,AUD,0.03
2021-06-01,CAD,0.128
2021-06-01,CHF,-0.737727272727273
2021-06-01,EUR,-0.542909090909091
2021-06-01,GBP,0.08
2021-06-01,JPY,-0.072
2021-06-01,NZD,0.33
2021-06-01,USD,0.09
2021-07-01,AUD,0.02
2021-07-01,CAD,0.1675
2021-07-01,CHF,-0.736136363636364
2021-07-01,EUR,-0.544818181818182
2021-07-01,GBP,0.08
2021-07-01,JPY,-0.072
2021-07-01,NZD,0.4
2021-07-01,USD,0.1
2021-08-01,AUD,0.01
2021-08-01,CAD,0.1775
2021-08-01,CHF,-0.738181818181818
2021-08-01,EUR,-0.547590909090909
2021-08-01,GBP,0.07
2021-08-01,JPY,-0.072
2021-08-01,NZD,0.54
2021-08-01,USD,0.1
2021-09-01,AUD,0.01
2021-09-01,CAD,0.132
2021-09-01,CHF,-0.82
2021-09-01,EUR,-0.545045454545454
2021-09-01,GBP,0.07
2021-09-01,JPY,-0.072
2021-09-01,NZD,0.57
2021-09-01,USD,0.1
2021-10-01,AUD,0.04
2021-10-01,CAD,0.12
2021-10-01,CHF,-0.726692380952381
2021-10-01,EUR,-0.549809523809524
2021-10-01,GBP,0.16
2021-10-01,JPY,-0.072
2021-10-01,NZD,0.7
2021-10-01,USD,0.11
2021-11-01,AUD,0.04
2021-11-01,CAD,0.1175
2021-11-01,CHF,-0.693960909090909
2021-11-01,EUR,-0.567363636363636
2021-11-01,GBP,0.13
2021-11-01,JPY,-0.072
2021-11-01,NZD,0.83
2021-11-01,USD,0.14
2021-12-01,AUD,0.06
2021-12-01,CAD,0.078
2021-12-01,CHF,-0.71745652173913
2021-12-01,EUR,-0.58195652173913
2021-12-01,GBP,0.16
2021-12-01,JPY,-0.049
2021-12-01,NZD,0.91
2021-12-01,USD,0.17
2022-01-01,AUD,0.07
2022-01-01,CAD,0.305
2022-01-01,CHF,-0.714190952380952
2022-01-01,EUR,-0.560142857142857
2022-01-01,GBP,0.53
