account_id,strategy,instrument,broker_symbol,source,side,signal,weight,target_notional_usd,target_pct_account,estimated_units,estimated_standard_lots,sizing_note,last_price,magic,current_notional_usd,delta_notional_usd,delta_side
A1,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,15587.7,0.1559,FX quote-USD estimate,1.165465,2026052201,0.0,-18166.92,SELL
A1,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,13506.95,0.1351,FX quote-USD estimate,1.345005,2026052201,0.0,-18166.92,SELL
A1,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,18166.92,0.1817,FX base-USD estimate,159.388,2026052201,0.0,-18166.92,SELL
A1,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,18166.92,0.181669,25297.18,0.253,FX quote-USD estimate,0.71814,2026052201,0.0,18166.92,BUY
A1,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,30385.05,0.3039,FX quote-USD estimate,0.59789,2026052201,0.0,-18166.92,SELL
A1,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,LONG,1.0,0.16666666666666666,18166.92,0.181669,18166.92,0.1817,FX base-USD estimate,1.37961,2026052201,0.0,18166.92,BUY
A2,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,15587.7,0.1559,FX quote-USD estimate,1.165465,2026052202,0.0,-18166.92,SELL
A2,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,13506.95,0.1351,FX quote-USD estimate,1.345005,2026052202,0.0,-18166.92,SELL
A2,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,18166.92,0.1817,FX base-USD estimate,159.388,2026052202,0.0,-18166.92,SELL
A2,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,18166.92,0.181669,25297.18,0.253,FX quote-USD estimate,0.71814,2026052202,0.0,18166.92,BUY
A2,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,SHORT,-1.0,0.16666666666666666,-18166.92,-0.181669,30385.05,0.3039,FX quote-USD estimate,0.59789,2026052202,0.0,-18166.92,SELL
A2,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,LONG,1.0,0.16666666666666666,18166.92,0.181669,18166.92,0.1817,FX base-USD estimate,1.37961,2026052202,0.0,18166.92,BUY
A3,NO_EUR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.2,-29122.54,-0.291225,21652.37,0.2165,FX quote-USD estimate,1.345005,2026052203,0.0,-29122.54,SELL
A3,NO_EUR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.2,-29122.54,-0.291225,29122.54,0.2912,FX base-USD estimate,159.388,2026052203,0.0,-29122.54,SELL
