account_id,strategy,instrument,broker_symbol,source,side,signal,weight,target_notional_usd,target_pct_account,estimated_units,estimated_standard_lots,sizing_note,last_price,magic,current_notional_usd,delta_notional_usd,delta_side
A1,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,58789.55,0.5879,FX quote-USD estimate,1.164475,2026052201,0.0,-68458.97,SELL
A1,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,50709.41,0.5071,FX quote-USD estimate,1.350025,2026052201,0.0,-68458.97,SELL
A1,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,68458.97,0.6846,FX base-USD estimate,158.913,2026052201,0.0,-68458.97,SELL
A1,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,68458.97,0.342295,95463.75,0.9546,FX quote-USD estimate,0.71712,2026052201,0.0,68458.97,BUY
A1,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.16666666666666666,68458.97,0.342295,116516.97,1.1652,FX quote-USD estimate,0.587545,2026052201,0.0,68458.97,BUY
A1,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,68458.97,0.6846,FX base-USD estimate,1.38115,2026052201,0.0,-68458.97,SELL
A2,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,58789.55,0.5879,FX quote-USD estimate,1.164475,2026052202,0.0,-68458.97,SELL
A2,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,50709.41,0.5071,FX quote-USD estimate,1.350025,2026052202,0.0,-68458.97,SELL
A2,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,68458.97,0.6846,FX base-USD estimate,158.913,2026052202,0.0,-68458.97,SELL
A2,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,68458.97,0.342295,95463.75,0.9546,FX quote-USD estimate,0.71712,2026052202,0.0,68458.97,BUY
A2,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.16666666666666666,68458.97,0.342295,116516.97,1.1652,FX quote-USD estimate,0.587545,2026052202,0.0,68458.97,BUY
A2,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-68458.97,-0.342295,68458.97,0.6846,FX base-USD estimate,1.38115,2026052202,0.0,-68458.97,SELL
A3,NO_EUR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.2,-109603.66,-0.548018,81186.39,0.8119,FX quote-USD estimate,1.350025,2026052203,0.0,-109603.66,SELL
A3,NO_EUR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.2,-109603.66,-0.548018,109603.66,1.096,FX base-USD estimate,158.913,2026052203,0.0,-109603.66,SELL
A3,NO_EUR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.2,109603.66,0.548018,152838.66,1.5284,FX quote-USD estimate,0.71712,2026052203,0.0,109603.66,BUY
A3,NO_EUR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.2,109603.66,0.548018,186545.13,1.8655,FX quote-USD estimate,0.587545,2026052203,0.0,109603.66,BUY
A3,NO_EUR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.2,-109603.66,-0.548018,109603.66,1.096,FX base-USD estimate,1.38115,2026052203,0.0,-109603.66,SELL
