account_id,strategy,instrument,broker_symbol,source,side,signal,weight,target_notional_usd,target_pct_account,estimated_units,estimated_standard_lots,sizing_note,last_price,magic,current_notional_usd,delta_notional_usd,delta_side
A1,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,LONG,1.0,0.16666666666666666,12360.02,0.1236,10714.44,0.1071,FX quote-USD estimate,1.153585,2026052201,0.0,12360.02,BUY
A1,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-12360.02,-0.1236,9249.61,0.0925,FX quote-USD estimate,1.336275,2026052201,0.0,-12360.02,SELL
A1,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-12360.02,-0.1236,12360.02,0.1236,FX base-USD estimate,160.525,2026052201,0.0,-12360.02,SELL
A1,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,12360.02,0.1236,17667.77,0.1767,FX quote-USD estimate,0.69958,2026052201,0.0,12360.02,BUY
A1,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.16666666666666666,12360.02,0.1236,21324.35,0.2132,FX quote-USD estimate,0.57962,2026052201,0.0,12360.02,BUY
A1,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-12360.02,-0.1236,12360.02,0.1236,FX base-USD estimate,1.39466,2026052201,0.0,-12360.02,SELL
A2,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,LONG,1.0,0.16666666666666666,12360.02,0.1236,10714.44,0.1071,FX quote-USD estimate,1.153585,2026052202,0.0,12360.02,BUY
A2,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-12360.02,-0.1236,9249.61,0.0925,FX quote-USD estimate,1.336275,2026052202,0.0,-12360.02,SELL
A2,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-12360.02,-0.1236,12360.02,0.1236,FX base-USD estimate,160.525,2026052202,0.0,-12360.02,SELL
A2,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,12360.02,0.1236,17667.77,0.1767,FX quote-USD estimate,0.69958,2026052202,0.0,12360.02,BUY
A2,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.16666666666666666,12360.02,0.1236,21324.35,0.2132,FX quote-USD estimate,0.57962,2026052202,0.0,12360.02,BUY
A2,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-12360.02,-0.1236,12360.02,0.1236,FX base-USD estimate,1.39466,2026052202,0.0,-12360.02,SELL
A3,NO_EUR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.2,-29465.32,-0.294653,22050.35,0.2205,FX quote-USD estimate,1.336275,2026052203,0.0,-29465.32,SELL
A3,NO_EUR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.2,-29465.32,-0.294653,29465.32,0.2947,FX base-USD estimate,160.525,2026052203,0.0,-29465.32,SELL
A3,NO_EUR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.2,29465.32,0.294653,42118.59,0.4212,FX quote-USD estimate,0.69958,2026052203,0.0,29465.32,BUY
A3,NO_EUR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.2,29465.32,0.294653,50835.59,0.5084,FX quote-USD estimate,0.57962,2026052203,0.0,29465.32,BUY
A3,NO_EUR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.2,-29465.32,-0.294653,29465.32,0.2947,FX base-USD estimate,1.39466,2026052203,0.0,-29465.32,SELL
A4,NO_EUR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.2,-29465.32,-0.294653,22050.35,0.2205,FX quote-USD estimate,1.336275,2026052204,0.0,-29465.32,SELL
A4,NO_EUR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.2,-29465.32,-0.294653,29465.32,0.2947,FX base-USD estimate,160.525,2026052204,0.0,-29465.32,SELL
A4,NO_EUR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.2,29465.32,0.294653,42118.59,0.4212,FX quote-USD estimate,0.69958,2026052204,0.0,29465.32,BUY
A4,NO_EUR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.2,29465.32,0.294653,50835.59,0.5084,FX quote-USD estimate,0.57962,2026052204,0.0,29465.32,BUY
A4,NO_EUR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.2,-29465.32,-0.294653,29465.32,0.2947,FX base-USD estimate,1.39466,2026052204,0.0,-29465.32,SELL
A5,COMDOLL_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.3333333333333333,16888.2,0.168882,24140.48,0.2414,FX quote-USD estimate,0.69958,2026052205,0.0,16888.2,BUY
A5,COMDOLL_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.3333333333333333,16888.2,0.168882,29136.68,0.2914,FX quote-USD estimate,0.57962,2026052205,0.0,16888.2,BUY
A5,COMDOLL_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.3333333333333333,-16888.2,-0.168882,16888.2,0.1689,FX base-USD estimate,1.39466,2026052205,0.0,-16888.2,SELL
A6,COMDOLL_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.3333333333333333,16888.2,0.168882,24140.48,0.2414,FX quote-USD estimate,0.69958,2026052206,0.0,16888.2,BUY
A6,COMDOLL_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.3333333333333333,16888.2,0.168882,29136.68,0.2914,FX quote-USD estimate,0.57962,2026052206,0.0,16888.2,BUY
A6,COMDOLL_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.3333333333333333,-16888.2,-0.168882,16888.2,0.1689,FX base-USD estimate,1.39466,2026052206,0.0,-16888.2,SELL
A7,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,LONG,1.0,0.16666666666666666,9888.01,0.09888,8571.55,0.0857,FX quote-USD estimate,1.153585,2026052207,0.0,9888.01,BUY
