account_id,strategy,instrument,broker_symbol,source,side,signal,weight,target_notional_usd,target_pct_account,estimated_units,estimated_standard_lots,sizing_note,last_price,magic,current_notional_usd,delta_notional_usd,delta_side
A1,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,10673.49,0.1067,FX quote-USD estimate,1.159195,2026052201,0.0,-12372.66,SELL
A1,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,9222.55,0.0922,FX quote-USD estimate,1.341565,2026052201,0.0,-12372.66,SELL
A1,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,12372.66,0.1237,FX base-USD estimate,160.226,2026052201,0.0,-12372.66,SELL
A1,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,12372.66,0.123727,17493.54,0.1749,FX quote-USD estimate,0.70727,2026052201,0.0,12372.66,BUY
A1,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.16666666666666666,12372.66,0.123727,21229.49,0.2123,FX quote-USD estimate,0.582805,2026052201,0.0,12372.66,BUY
A1,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,12372.66,0.1237,FX base-USD estimate,1.39925,2026052201,0.0,-12372.66,SELL
A2,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,10673.49,0.1067,FX quote-USD estimate,1.159195,2026052202,0.0,-12372.66,SELL
A2,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,9222.55,0.0922,FX quote-USD estimate,1.341565,2026052202,0.0,-12372.66,SELL
A2,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,12372.66,0.1237,FX base-USD estimate,160.226,2026052202,0.0,-12372.66,SELL
A2,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,12372.66,0.123727,17493.54,0.1749,FX quote-USD estimate,0.70727,2026052202,0.0,12372.66,BUY
A2,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.16666666666666666,12372.66,0.123727,21229.49,0.2123,FX quote-USD estimate,0.582805,2026052202,0.0,12372.66,BUY
A2,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-12372.66,-0.123727,12372.66,0.1237,FX base-USD estimate,1.39925,2026052202,0.0,-12372.66,SELL
A3,NO_EUR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.2,-22264.89,-0.222649,16596.21,0.166,FX quote-USD estimate,1.341565,2026052203,0.0,-22264.89,SELL
A3,NO_EUR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.2,-22264.89,-0.222649,22264.89,0.2226,FX base-USD estimate,160.226,2026052203,0.0,-22264.89,SELL
A3,NO_EUR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.2,22264.89,0.222649,31480.04,0.3148,FX quote-USD estimate,0.70727,2026052203,0.0,22264.89,BUY
A3,NO_EUR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.2,22264.89,0.222649,38202.98,0.382,FX quote-USD estimate,0.582805,2026052203,0.0,22264.89,BUY
A3,NO_EUR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.2,-22264.89,-0.222649,22264.89,0.2226,FX base-USD estimate,1.39925,2026052203,0.0,-22264.89,SELL
A4,NO_EUR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.2,-22264.89,-0.222649,16596.21,0.166,FX quote-USD estimate,1.341565,2026052204,0.0,-22264.89,SELL
A4,NO_EUR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.2,-22264.89,-0.222649,22264.89,0.2226,FX base-USD estimate,160.226,2026052204,0.0,-22264.89,SELL
A4,NO_EUR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.2,22264.89,0.222649,31480.04,0.3148,FX quote-USD estimate,0.70727,2026052204,0.0,22264.89,BUY
A4,NO_EUR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.2,22264.89,0.222649,38202.98,0.382,FX quote-USD estimate,0.582805,2026052204,0.0,22264.89,BUY
A4,NO_EUR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.2,-22264.89,-0.222649,22264.89,0.2226,FX base-USD estimate,1.39925,2026052204,0.0,-22264.89,SELL
A5,COMDOLL_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.3333333333333333,16739.93,0.167399,23668.37,0.2367,FX quote-USD estimate,0.70727,2026052205,0.0,16739.93,BUY
A5,COMDOLL_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.3333333333333333,16739.93,0.167399,28723.04,0.2872,FX quote-USD estimate,0.582805,2026052205,0.0,16739.93,BUY
A5,COMDOLL_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.3333333333333333,-16739.93,-0.167399,16739.93,0.1674,FX base-USD estimate,1.39925,2026052205,0.0,-16739.93,SELL
A6,COMDOLL_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.3333333333333333,16739.93,0.167399,23668.37,0.2367,FX quote-USD estimate,0.70727,2026052206,0.0,16739.93,BUY
A6,COMDOLL_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.3333333333333333,16739.93,0.167399,28723.04,0.2872,FX quote-USD estimate,0.582805,2026052206,0.0,16739.93,BUY
A6,COMDOLL_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.3333333333333333,-16739.93,-0.167399,16739.93,0.1674,FX base-USD estimate,1.39925,2026052206,0.0,-16739.93,SELL
A7,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-9898.12,-0.098981,8538.79,0.0854,FX quote-USD estimate,1.159195,2026052207,0.0,-9898.12,SELL
A7,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-9898.12,-0.098981,7378.04,0.0738,FX quote-USD estimate,1.341565,2026052207,0.0,-9898.12,SELL
A7,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-9898.12,-0.098981,9898.12,0.099,FX base-USD estimate,160.226,2026052207,0.0,-9898.12,SELL
A7,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,9898.12,0.098981,13994.83,0.1399,FX quote-USD estimate,0.70727,2026052207,0.0,9898.12,BUY
A7,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,LONG,1.0,0.16666666666666666,9898.12,0.098981,16983.6,0.1698,FX quote-USD estimate,0.582805,2026052207,0.0,9898.12,BUY
